name,mw1,emw1,mw1_exp,emw1_exp,mw1_ap,emw1_ap
"ECOaddrs0004",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0024",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0026",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0028",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0037",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0058",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0079",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0161",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0164",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0207",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0217",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0223",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0230",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0233",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0235",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0238",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0245",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0248",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0252",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0265",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0272",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0281",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0285",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0286",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0287",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0291",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0293",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0294",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"ECOaddrs0295",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
